ID,OfficialViols,AEP,RepairCount,RepairCost,ClassB_count,ClassB,ClassC_count,ClassC,SumViols,ViolsDiff
23077,,,1,34000,,,,,0,
23078,,,2,59.5,15,15,2,2,17,
23079,,,8,3151.56,18,18,3,3,21,
23080,,,1,799,4,4,1,1,5,
23081,,,1,350,2,2,,,2,
23082,,,1,121,25,25,1,1,26,
23083,,,2,172.5,5,5,3,3,8,
23084,,,1,50,,,3,3,3,
23085,,,1,151,6,6,1,1,7,
23086,,,1,829,,,,,0,
23087,,,2,251,22,22,7,7,29,
23088,,,3,3991.25,,,3,3,3,
23089,,,1,700,1,1,1,1,2,
23090,,,17,11143.28,8,8,3,3,11,
23091,,,1,179,20,20,,,20,
23092,,,2,350,1,1,,,1,
23093,,,5,93.75,,,1,1,1,
23094,,,4,1101,123,123,26,26,149,
23095,,,1,195,38,38,11,11,49,
23096,,,5,3706,25,25,12,12,37,
23097,,,5,3619,60,60,4,4,64,
23098,,,1,37.5,,,,,0,
23099,,,1,1900,81,81,14,14,95,
23100,,,10,7126.2,70,70,26,26,96,
23101,,,1,8,2,2,1,1,3,
23102,,,4,3127,34,34,13,13,47,
23103,,,1,62,8,8,,,8,
23104,,,1,15,,,,,0,
23105,,,4,1435,18,18,3,3,21,
23106,,,2,815.98,47,47,4,4,51,
23107,,,2,1298,23,23,21,21,44,
23108,,,1,1195,,,,,0,
23109,,,6,2525.5,8,8,5,5,13,
23110,,,2,1690,4,4,2,2,6,
23111,,,3,2217,,,,,0,
23112,,,4,2300,6,6,,,6,
23113,,,7,3854,82,82,15,15,97,
23114,,,1,220,4,4,1,1,5,
23115,,,1,16.8,,,,,0,
23116,,,1,355,22,22,13,13,35,
23117,,,8,2303.1,35,35,4,4,39,
23118,,,1,890,8,8,3,3,11,
23119,,,5,9889,27,27,1,1,28,
23120,,,3,1076,9,9,3,3,12,
23121,,,10,6478.25,20,20,7,7,27,
23122,,,3,867,72,72,28,28,100,
23123,,,11,1887.5,24,24,16,16,40,
